[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.039314s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039498s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000589s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000697s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000390s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000923s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003068s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000568s ]
[ 2012-08-21T14:30:24+08:00 ] /dwz_thinkphp3/Admin/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000732s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ route_check ] --START--
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run CheckRoute Behavior [ RunTime:0.000774s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000964s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000682s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000878s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.002750s ]
[ 2012-08-21T14:30:26+08:00 ] /dwz_thinkphp3/Admin/index.php/User/index/?_=1345530626679 | NOTIC: [8] Undefined index: account UserAction.class.php 第 6 行.
