[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000393s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run ShowRuntime Behavior [ RunTime:0.001176s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003685s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_end ] --START--
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001757s ]
[ 2012-08-23T10:11:59+08:00 ] /dwz_thinkphp3/Admin/index.php/Course/edit/id/12?_=1345687919133 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001959s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001250s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001507s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001173s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001350s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.015332s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.015571s ]
[ 2012-08-23T10:27:54+08:00 ] /dwz_thinkphp3/Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
